46531,1465,4G,2:0:0,4G,0-2:0:0,3.52,1,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46535,2930,4G,2:0:0,4G,0-2:0:0,6.38,2,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46534,4395,4G,2:0:0,4G,0-2:0:0,9.24,4,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46533,5860,4G,2:0:0,4G,0-2:0:0,12.10,5,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46532,7325,4G,2:0:0,4G,0-2:0:0,14.96,7,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none
46571,0,2G,2:0:0,2G,0-2:0:0,10.93,1,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46572,0,2G,2:0:0,2G,0-2:0:0,13.23,1,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46573,0,2G,2:0:0,2G,0-2:0:0,16.66,2,COMPLETED,ld32,,useSomeMemTimeNoInput.sh,none
46881,4395,2G,2:0:0,15M,0-0:9:0,0,0,COMPLETED,ld32,,useSomeMemTimeAccordingInputSize.sh,none,slurm-%j.out slurm-Qzipzr0t.sh slurm-%j.err,1,compute-dev04,slurm-46881.err,Sat Jan 28 12:54:10 EST 2023,"/home/ld32/smartSlurm/bin/ssbatch --comment=SSBATCH_I=bigText3.txt SSBATCH_S=useSomeMemTimeAccordingInputSize.sh -A rccg -p priority job1.sh run"
47007,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:53:52 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47008,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:53:55 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47009,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 20:54:21 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47008 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47010,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:54:25 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47011,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:54:25 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47012,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 20:54:52 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47011 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47013,1634125,8G,12:0:0,8G,0-12:0:0,0,1,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:55:10 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47014,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 20:55:36 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47013 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47015,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:58:35 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47016,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:58:38 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47017,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 20:59:48 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47018,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 20:59:53 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47019,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 21:00:56 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47018 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47020,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 21:02:23 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47021,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 21:02:26 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47022,1634125,8G,30,8G,0-0:30:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 21:02:52 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47021 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47023,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 21:03:16 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47024,1634125,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz.err,Fri Mar 10 21:03:16 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz NTC026_HEK_B_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
47025,1634125,8G,30,8G,0-0:30:0,0,1,COMPLETED,ld32,/home/ld32/projects/testPipe,multistats,hg38,2.1.multistats.,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/2.1.multistats..err,Fri Mar 10 21:03:44 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S multistats -R hg38 -F 2.1.multistats. -I ,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_B_dualUMI_2_S2_L001_R2_001.fastq.gz -D 47024 -A rccg -p short -t 30 --mem=8G -A rccg --wrap set -e; echo Rscript logs/slurmPipeLine.fcb1ba0a117f9c430c9f45cb55d3eb47.run.sh rcbio_prep_metadata.csv run"
47026,1228505,8G,12:0:0,8G,0-12:0:0,0,0,COMPLETED,ld32,/home/ld32/projects/testPipe,pipeline,hg38,1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,1,compute-a-16-26,/home/ld32/projects/testPipe/logs/1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz.err,Fri Mar 10 21:04:49 EST 2023,"/home/ld32/smartSlurm/bin/smartSbatch -L /home/ld32/projects/testPipe -S pipeline -R hg38 -F 1.0.pipeline._home_ld32_projects_testPipe_NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz -I ,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz,/home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz -D null -A rccg -c 1 -p short -t 12:0:0 --mem 8G -A rccg --wrap set -e; echo logs/slurmPipeLine.57bd68d39ce94027fdbb77215197f079.run.sh /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R1_001.fastq.gz /home/ld32/projects/testPipe/NTC026_HEK_A_dualUMI_1_S1_L001_R2_001.fastq.gz NTC026_HEK_A_dualUMI_L001 dm6 hg38 HEK PRO-seq /home/ld32/projects/testPipe/hg38.basic_formakeheatmap.txt /home/ld32/projects/testPipe/out run"
